Start	End	Direction	Weight
1060P11.7	HLA-A	1	1
1060P11.7	HLA-B	1	1
1060P11.7	HLA-C	1	1
1060P11.7	HLA-E	1	1
1060P11.7	HLA-F	1	1
1060P11.7	HLA-G	1	1
1060P11.7	TYROBP	1	1
A1CF	APOBEC1	1	1
A2M	APOA1	1	1
A2M	BMP1	1	1
A2M	CDC42	1	1
A2M	F2	1	1
A2M	KLKB1	1	1
A2M	NFKB1	1	1
A2M	PLG	1	1
A2M	PROC	1	1
A2M	PROS1	1	1
A2M	RAC1	1	1
A2M	RAC2	1	1
A2M	RAC3	1	1
A2M	RELA	1	1
A2M	RHOA	1	1
A2M	RHOB	1	1
A2M	RHOBTB1	1	1
A2M	RHOBTB2	1	1
A2M	RHOC	1	1
A2M	RHOD	1	1
A2M	RHOF	1	1
A2M	RHOG	1	1
A2M	RHOH	1	1
A2M	RHOJ	1	1
A2M	RHOQ	1	1
A2M	RHOT1	1	1
A2M	RHOT2	1	1
A2M	RHOU	1	1
A2M	RHOV	1	1
A2M	STAT1	1	1
A2M	STAT3	1	1
AAAS	BANF1	1	1
AAAS	CDC40	1	1
AAAS	CPSF1	1	1
AAAS	CPSF2	1	1
AAAS	CPSF3	1	1
AAAS	DDX20	1	1
AAAS	DHX38	1	1
AAAS	EIF4E	1	1
AAAS	GCK	1	1
AAAS	GCKR	1	1
AAAS	GEMIN4	1	1
AAAS	GEMIN5	1	1
AAAS	GEMIN6	1	1
AAAS	GEMIN7	1	1
AAAS	HMGA1	1	1
AAAS	KPNA1	1	1
AAAS	KPNB1	1	1
AAAS	MAGOH	1	1
AAAS	NCBP1	1	1
AAAS	NCBP2	1	1
AAAS	NUP107	1	1
AAAS	NUP133	1	1
AAAS	NUP153	1	1
AAAS	NUP155	1	1
AAAS	NUP160	1	1
AAAS	NUP188	1	1
AAAS	NUP205	1	1
AAAS	NUP210	1	1
AAAS	NUP214	1	1
AAAS	NUP35	1	1
AAAS	NUP37	1	1
AAAS	NUP43	1	1
AAAS	NUP50	1	1
AAAS	NUP54	1	1
AAAS	NUP62	1	1
AAAS	NUP85	1	1
AAAS	NUP88	1	1
AAAS	NUP93	1	1
AAAS	NUP98	1	1
AAAS	NUPL1	1	1
AAAS	NUPL2	1	1
AAAS	NXF1	1	1
AAAS	PHAX	1	1
AAAS	POM121	1	1
AAAS	PSIP1	1	1
AAAS	RAE1	1	1
AAAS	RAN	1	1
AAAS	RANBP2	1	1
AAAS	RBM8A	1	1
AAAS	RNPS1	1	1
AAAS	SEH1L	1	1
AAAS	SFRS1	1	1
AAAS	SFRS11	1	1
AAAS	SFRS2	1	1
AAAS	SFRS3	1	1
AAAS	SFRS4	1	1
AAAS	SFRS5	1	1
AAAS	SFRS6	1	1
AAAS	SFRS7	1	1
AAAS	SFRS9	1	1
AAAS	SIP1	1	1
AAAS	SLBP	1	1
AAAS	SMN1	1	1
AAAS	SNRPB	1	1
AAAS	SNRPD1	1	1
AAAS	SNRPD2	1	1
AAAS	SNRPD3	1	1
AAAS	SNRPE	1	1
AAAS	SNRPF	1	1
AAAS	SNRPG	1	1
AAAS	SNUPN	1	1
AAAS	SRRM1	1	1
AAAS	THOC4	1	1
AAAS	TPR	1	1
AAAS	U2AF1	1	1
AAAS	U2AF2	1	1
AAAS	UPF3B	1	1
AAAS	XPO1	1	1
AASDHPPT	FASN	1	1
AATF	E2F1	1	1
AATF	E2F2	1	1
AATF	E2F3	1	1
AATF	HDAC1	1	1
AATF	MAGED1	1	1
AATF	NGF	1	1
AATF	NGFR	1	1
AATF	RB1	1	1
AATF	TFDP1	1	1
ABCA1	APOA1	1	1
ABCA1	JUN	1	1
ABCA1	SP3	1	1
ABCA1	USF1	1	1
ABCA1	USF2	1	1
ABCA2	EGR1	1	1
ABCA2	SP3	1	1
ABCA2	SP4	1	1
ABCA7	APOA1	1	1
ABCB1	CEBPA	1	1
ABCB1	CEBPB	1	1
ABCB1	EGR1	1	1
ABCB1	EGR2	1	1
ABCB1	ETS1	1	1
ABCB1	HIF1A	1	1
ABCB1	JUN	1	1
ABCB1	NFKB1	1	1
ABCB1	RARA	1	1
ABCB1	SP1	1	1
ABCB1	TP53	1	1
ABCB1	WT1	1	1
ABCC3	ALB	1	1
ABCC3	FABP6	1	1
ABCC8	CACNA1A	1	1
ABCC8	CACNA1B	1	1
ABCC8	CACNA1C	1	1
ABCC8	CACNA1D	1	1
ABCC8	CACNA1E	1	1
ABCC8	CACNA1G	1	1
ABCC8	KCNJ11	1	1
ABCD1	PEX19	1	1
ABCD1	PEX3	1	1
ABCD2	TFAP2A	1	1
ABCD3	PEX19	1	1
ABCD3	PEX3	1	1
ABCG5	ABCG8	1	1
ABHD5	PLIN	1	1
ABI1	CYFIP2	1	1
ABI1	NCKAP1	1	1
ABI1	RAC1	1	1
ABI2	C3ORF10	1	1
ABI2	CYFIP1	1	1
ABI2	CYFIP2	1	1
ABI2	NCKAP1	1	1
ABI2	NCKAP1L	1	1
ABI2	RAC1	1	1
ABI2	RAC2	1	1
ABI2	RAC3	1	1
ABI2	WASF1	1	1
ABL1	BLK	1	1
ABL1	CBL	1	1
ABL1	CBLB	1	1
ABL1	CBLC	1	1
ABL1	CCNA2	1	1
ABL1	CDK2	1	1
ABL1	CDK5	1	1
ABL1	CRK	1	1
ABL1	CRKL	1	1
ABL1	DKFZP686N21130	1	1
ABL1	E2F1	1	1
ABL1	EPHA1	1	1
ABL1	EPHA2	1	1
ABL1	EPHA3	1	1
ABL1	EPHA4	1	1
ABL1	EPHA5	1	1
ABL1	EPHA7	1	1
ABL1	EPHA8	1	1
ABL1	EPHB1	1	1
ABL1	EPHB2	1	1
ABL1	EPHB3	1	1
ABL1	EPHB4	1	1
ABL1	EPHB6	1	1
ABL1	FGR	1	1
ABL1	FYN	1	1
ABL1	GRB2	1	1
ABL1	HCK	1	1
ABL1	KIT	1	1
ABL1	LCK	1	1
ABL1	LRP8	1	1
ABL1	LYN	1	1
ABL1	MYC	1	1
ABL1	NTRK1	1	1
ABL1	PLCG1	1	1
ABL1	PXN	1	1
ABL1	RB1	1	1
ABL1	RELN	1	1
ABL1	SHC1	1	1
ABL1	SHC2	1	1
ABL1	SHC3	1	1
ABL1	SHC4	1	1
ABL1	SRC	1	1
ABL1	STAT5A	1	1
ABL1	STAT5B	1	1
ABL1	TBX2	1	1
ABL1	TERT	1	1
ABL1	TP53	1	1
ABL1	TP73	1	1
ABL1	TWIST1	1	1
ABL1	YES1	1	1
ABL2	CRK	1	1
ABL2	CRKL	1	1
ABL2	DKFZP686N21130	1	1
ABL2	PXN	1	1
ABLIM1	RAC1	1	1
ABLIM1	RAC2	1	1
ABLIM1	RAC3	1	1
ABLIM2	RAC1	1	1
ABLIM2	RAC2	1	1
ABLIM2	RAC3	1	1
ABLIM3	RAC1	1	1
ABLIM3	RAC2	1	1
ABLIM3	RAC3	1	1
ABR	CDC42	1	1
ABR	RAC1	1	1
ABR	RAC2	1	1
ABR	RAC3	1	1
ABR	RHOA	1	1
ABR	RHOB	1	1
ABR	RHOBTB1	1	1
ABR	RHOBTB2	1	1
ABR	RHOC	1	1
ABR	RHOD	1	1
ABR	RHOF	1	1
ABR	RHOG	1	1
ABR	RHOH	1	1
ABR	RHOJ	1	1
ABR	RHOQ	1	1
ABR	RHOT1	1	1
ABR	RHOT2	1	1
ABR	RHOU	1	1
ABR	RHOV	1	1
ACAA1	PPARA	1	1
ACAA1	PPARG	1	1
ACAA1	RXRA	1	1
ACAA1	RXRB	1	1
ACAA1	RXRG	1	1
ACACA	CEBPA	1	1
ACACA	PRKAA1	1	1
ACACA	PRKAA2	1	1
ACACA	PRKAB1	1	1
ACACA	PRKAB2	1	1
ACACA	PRKAG1	1	1
ACACA	PRKAG2	1	1
ACACA	PRKAG3	1	1
ACACA	SP3	1	1
ACACA	SREBF1	1	1
ACACA	USF1	1	1
