Start	End	Direction	Weight
ABI1	ABL1	1	1
ABI2	ABL1	1	1
ABL1	ABR	1	1
ABL1	ACAP1	1	1
ABCF3	ACIN1	1	1
ACTB	ACTG1	1	1
ACTB	ACTN3	1	1
ACTN2	ACTN3	1	1
ACTR2	ACTR3	1	1
ACVR1B	ACVR2A	1	1
ACVR2A	ACVRL1	1	1
ACAN	ADAMTS4	1	1
ADCYAP1	ADCYAP1R1	1	1
ADA	ADORA1	1	1
ACE2	AGT	1	1
ABL1	AHSG	1	1
ACTB	AIMP2	1	1
AIMP1	AIMP2	1	1
AHR	AIP	1	1
ABL1	AIRE	1	1
ADRB2	AKAP12	1	1
ABL1	AKAP6	1	1
ACIN1	AKR1C3	1	1
AHSG	AKT1	1	1
AKT1	AKT1S1	1	1
AKT1	AKT2	1	1
AKT1S1	AKT2	1	1
A2M	AMBP	1	1
ANAPC11	ANAPC2	1	1
ALG2	ANXA11	1	1
A1BG	ANXA7	1	1
A2M	ANXA7	1	1
ACTB	ANXA7	1	1
ACTL6B	ANXA7	1	1
ADAMTS10	ANXA7	1	1
ANGPT2	ANXA7	1	1
AP1B1	AP1G1	1	1
AP1M1	AP1M2	1	1
AP1G1	AP1S1	1	1
AMPH	AP2A2	1	1
ACVR1	AP2B1	1	1
AP1M1	AP2B1	1	1
AP1M2	AP2B1	1	1
AP2B1	AP2M1	1	1
ANXA1	APBB1	1	1
ACTN1	APC	1	1
AGFG1	APC	1	1
ANKRD17	APC	1	1
ANXA7	APC	1	1
AP2B1	APC	1	1
ANXA7	APLP1	1	1
APBB1	APLP2	1	1
APBB3	APLP2	1	1
A1CF	APOBEC1	1	1
A2M	APOE	1	1
AKT1	APOH	1	1
ABL1	APOL5	1	1
A2M	APP	1	1
ACHE	APP	1	1
AP1M2	APP	1	1
APBA1	APP	1	1
APBB1	APP	1	1
APBB2	APP	1	1
APBB3	APP	1	1
APOE	APP	1	1
AKT1	APPL1	1	1
APPL1	APPL2	1	1
ADAMTSL4	AQP1	1	1
AKT1	AR	1	1
ARF3	ARFIP1	1	1
AGTRAP	ARFIP2	1	1
ARF1	ARFIP2	1	1
ARF3	ARFIP2	1	1
ARF5	ARFIP2	1	1
ARF6	ARFIP2	1	1
AGTRAP	ARHGAP1	1	1
ARF1	ARHGAP21	1	1
ACTL6A	ARHGDIA	1	1
ANXA9	ARHGEF10L	1	1
ABCA1	ARHGEF11	1	1
ABL1	ARHGEF11	1	1
ABCA1	ARHGEF12	1	1
ARAP1	ARIH2	1	1
ARL2	ARL2BP	1	1
ACSF2	ARL6IP1	1	1
AHR	ARNT	1	1
ACTB	ARPC1B	1	1
ACTR2	ARPC1B	1	1
ACTR3	ARPC2	1	1
ARPC1B	ARPC2	1	1
ACTR3	ARPC3	1	1
ARAP1	ARPC3	1	1
ACTR2	ARPC4	1	1
ACTR3	ARPC4	1	1
ARPC1B	ARPC4	1	1
ARPC2	ARPC4	1	1
ACTR2	ARPC5	1	1
ARPC1B	ARPC5	1	1
ARPC4	ARPC5	1	1
ARPC4	ARPC5L	1	1
ARF6	ARRB1	1	1
AP1B1	ARRB2	1	1
ARF6	ARRB2	1	1
ABL1	ASAP1	1	1
APC	ASAP1	1	1
ARF1	ASAP2	1	1
ARF5	ASAP2	1	1
ARF6	ASAP2	1	1
ABL1	ASB16	1	1
AKR1A1	ASCC2	1	1
ASGR1	ASGR2	1	1
AKTIP	ASS1	1	1
ASCC2	ASS1	1	1
AKT1	ASXL1	1	1
ATF2	ATF3	1	1
ATF3	ATF4	1	1
ATF2	ATF7	1	1
ATF3	ATF7	1	1
