Start	End	Direction	Weight
ABCG5	ABCG8	0	1
ABI1	ABL1	0	1
ABI2	ABL1	0	1
ABL1	ABR	0	1
ABL1	ACAP1	0	1
ABCF3	ACIN1	0	1
ACTB	ACTG1	0	1
ACTB	ACTN3	0	1
ACTN2	ACTN3	0	1
ACTR2	ACTR3	0	1
ACTL6A	ACTR5	0	1
ACTL6A	ACTR8	0	1
ACTR5	ACTR8	0	1
ACVR1B	ACVR2A	0	1
ACVR1B	ACVR2B	0	1
ACVR2A	ACVRL1	0	1
ACAN	ADAMTS4	0	1
ADCYAP1	ADCYAP1R1	0	1
ADA	ADORA1	0	1
AFF1	AFF4	0	1
ACE2	AGT	0	1
ABL1	AHSG	0	1
ACTB	AIMP2	0	1
AIMP1	AIMP2	0	1
AHR	AIP	0	1
ABL1	AIRE	0	1
ADRB2	AKAP12	0	1
ABL1	AKAP6	0	1
ACIN1	AKR1C3	0	1
AHSG	AKT1	0	1
AKT1	AKT1S1	0	1
AKT1	AKT2	0	1
AKT1S1	AKT2	0	1
A2M	AMBP	0	1
ANAPC1	ANAPC2	0	1
ANAPC11	ANAPC2	0	1
ANAPC1	ANAPC4	0	1
ANAPC1	ANAPC5	0	1
ANAPC2	ANAPC5	0	1
ANAPC4	ANAPC5	0	1
ANAPC1	ANAPC7	0	1
ANAPC5	ANAPC7	0	1
ALG2	ANXA11	0	1
A1BG	ANXA7	0	1
A2M	ANXA7	0	1
ACTB	ANXA7	0	1
ACTL6B	ANXA7	0	1
ADAMTS10	ANXA7	0	1
ANGPT2	ANXA7	0	1
AP1B1	AP1G1	0	1
AP1G1	AP1M1	0	1
AP1M1	AP1M2	0	1
AP1G1	AP1S1	0	1
AMPH	AP2A2	0	1
ACVR1	AP2B1	0	1
AP1M1	AP2B1	0	1
AP1M2	AP2B1	0	1
AP2B1	AP2M1	0	1
ANXA1	APBB1	0	1
ACTN1	APC	0	1
AGFG1	APC	0	1
ANKRD17	APC	0	1
ANXA7	APC	0	1
AP2B1	APC	0	1
ANXA7	APLP1	0	1
APBB1	APLP2	0	1
APBB3	APLP2	0	1
A1CF	APOBEC1	0	1
A2M	APOE	0	1
AKT1	APOH	0	1
ABL1	APOL5	0	1
A2M	APP	0	1
ACHE	APP	0	1
AP1M2	APP	0	1
APBA1	APP	0	1
APBA2	APP	0	1
APBA3	APP	0	1
APBB1	APP	0	1
APBB2	APP	0	1
APBB3	APP	0	1
APOE	APP	0	1
AKT1	APPL1	0	1
AKT2	APPL1	0	1
APPL1	APPL2	0	1
ADAMTSL4	AQP1	0	1
AKT1	AR	0	1
ARFGEF1	ARFGEF2	0	1
ARF3	ARFIP1	0	1
AGTRAP	ARFIP2	0	1
ARF1	ARFIP2	0	1
ARF3	ARFIP2	0	1
ARF5	ARFIP2	0	1
ARF6	ARFIP2	0	1
AGTRAP	ARHGAP1	0	1
ARF1	ARHGAP21	0	1
ACTL6A	ARHGDIA	0	1
ANXA9	ARHGEF10L	0	1
ABCA1	ARHGEF11	0	1
ABL1	ARHGEF11	0	1
ABCA1	ARHGEF12	0	1
ARAP1	ARIH2	0	1
ARL2	ARL2BP	0	1
ACSF2	ARL6IP1	0	1
AHR	ARNT	0	1
AIP	ARNT	0	1
ACTB	ARPC1B	0	1
ACTR2	ARPC1B	0	1
ACTR3	ARPC2	0	1
ARPC1B	ARPC2	0	1
ACTR3	ARPC3	0	1
ARAP1	ARPC3	0	1
ACTR2	ARPC4	0	1
ACTR3	ARPC4	0	1
ARPC1B	ARPC4	0	1
ARPC2	ARPC4	0	1
ACTR2	ARPC5	0	1
ARPC1B	ARPC5	0	1
ARPC4	ARPC5	0	1
ARPC4	ARPC5L	0	1
ARF6	ARRB1	0	1
ARR3	ARRB1	0	1
AP1B1	ARRB2	0	1
AP2B1	ARRB2	0	1
ARF6	ARRB2	0	1
ARRB1	ARRB2	0	1
ABL1	ASAP1	0	1
APC	ASAP1	0	1
ARF1	ASAP2	0	1
ARF5	ASAP2	0	1
ARF6	ASAP2	0	1
ABL1	ASB16	0	1
AKR1A1	ASCC2	0	1
ASGR1	ASGR2	0	1
AKTIP	ASS1	0	1
ASCC2	ASS1	0	1
AKT1	ASXL1	0	1
ATF2	ATF3	0	1
ATF3	ATF4	0	1
ATF2	ATF7	0	1
ATF3	ATF7	0	1
ATF4	ATF7	0	1
A2M	ATF7IP	0	1
ACTB	ATF7IP	0	1
ACTG1	ATF7IP	0	1
AP1B1	ATF7IP	0	1
ATG12	ATG16L1	0	1
ATG12	ATG3	0	1
ATG12	ATG5	0	1
ATG12	ATG7	0	1
ATG3	ATG7	0	1
ABL1	ATM	0	1
AP1B1	ATM	0	1
AES	ATN1	0	1
AGRN	ATN1	0	1
ALG13	ATN1	0	1
ARF3	ATN1	0	1
ANXA7	ATP5B	0	1
ABHD16A	ATP5G3	0	1
ARL8B	ATP5J2	0	1
ANG	ATP6AP1	0	1
ANXA7	ATP6V1A	0	1
AP2B1	ATP6V1G1	0	1
ATP6V1E1	ATP6V1G1	0	1
ATP6V1E2	ATP6V1G1	0	1
ATP6V1E1	ATP6V1G2	0	1
ATP5B	ATPAF1	0	1
ATP5B	ATPAF2	0	1
ATR	ATRIP	0	1
ACACA	ATXN1	0	1
ACOT7	ATXN1	0	1
ADCY6	ATXN1	0	1
AHDC1	ATXN1	0	1
AKT1	ATXN1	0	1
ANKHD1	ATXN1	0	1
APBB1	ATXN1	0	1
ARHGAP32	ATXN1	0	1
ARID5A	ATXN1	0	1
ATP1A3	ATXN1	0	1
ATP6V0D1	ATXN1	0	1
ACO2	ATXN1L	0	1
ACOT7	ATXN1L	0	1
ADORA1	ATXN1L	0	1
AES	ATXN1L	0	1
AFAP1L2	ATXN1L	0	1
AP1G2	ATXN1L	0	1
APBB1	ATXN1L	0	1
ATXN1	ATXN1L	0	1
ACTN1	ATXN2	0	1
ACTN2	ATXN2	0	1
ATXN1	ATXN2	0	1
ATXN1	ATXN2L	0	1
ANXA7	ATXN3	0	1
ARHGAP19	ATXN3	0	1
ACTN1	ATXN7	0	1
ACTN2	ATXN7	0	1
ACTN4	ATXN7	0	1
ADAM33	ATXN7	0	1
AGRN	ATXN7	0	1
ANKZF1	AURKB	0	1
ANP32A	AXIN1	0	1
APC	AXIN1	0	1
ADAM10	AXL	0	1
